COMECANDO LOG DA INSTÂNCIA 7.txt
Requisicao 44 | Sensor Sensor(0) | 1 caminhos testados | Caminho selecionado: [Sensor(0), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 45 | Sensor Sensor(42) | 1 caminhos testados | Caminho selecionado: [Sensor(42), FogNode(21)] | Nó selecionado: FogNode(21)
Requisicao 46 | Sensor Sensor(22) | 1 caminhos testados | Caminho selecionado: [Sensor(22), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 47 | Sensor Sensor(3) | 1 caminhos testados | Caminho selecionado: [Sensor(3), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 48 | Sensor Sensor(57) | 1 caminhos testados | Caminho selecionado: [Sensor(57), FogNode(27)] | Nó selecionado: FogNode(27)
Requisicao 49 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 50 | Sensor Sensor(35) | 1 caminhos testados | Caminho selecionado: [Sensor(35), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 51 | Sensor Sensor(54) | 1 caminhos testados | Caminho selecionado: [Sensor(54), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 52 | Sensor Sensor(50) | 1 caminhos testados | Caminho selecionado: [Sensor(50), FogNode(26)] | Nó selecionado: FogNode(26)
Requisicao 53 | Sensor Sensor(31) | 1 caminhos testados | Caminho selecionado: [Sensor(31), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 54 | Sensor Sensor(1) | 1 caminhos testados | Caminho selecionado: [Sensor(1), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 55 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 56 | Sensor Sensor(40) | 1 caminhos testados | Caminho selecionado: [Sensor(40), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 57 | Sensor Sensor(10) | 1 caminhos testados | Caminho selecionado: [Sensor(10), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 58 | Sensor Sensor(5) | 1 caminhos testados | Caminho selecionado: [Sensor(5), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 59 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 60 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 61 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 62 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 63 | Sensor Sensor(9) | 1 caminhos testados | Caminho selecionado: [Sensor(9), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 64 | Sensor Sensor(34) | 1 caminhos testados | Caminho selecionado: [Sensor(34), FogNode(14)] | Nó selecionado: FogNode(14)
Requisicao 65 | Sensor Sensor(12) | 1 caminhos testados | Caminho selecionado: [Sensor(12), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 66 | Sensor Sensor(24) | 1 caminhos testados | Caminho selecionado: [Sensor(24), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 67 | Sensor Sensor(22) | 1 caminhos testados | Caminho selecionado: [Sensor(22), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 68 | Sensor Sensor(58) | 1 caminhos testados | Caminho selecionado: [Sensor(58), FogNode(29)] | Nó selecionado: FogNode(29)
Requisicao 69 | Sensor Sensor(39) | 1 caminhos testados | Caminho selecionado: [Sensor(39), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 70 | Sensor Sensor(39) | 1 caminhos testados | Caminho selecionado: [Sensor(39), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 71 | Sensor Sensor(55) | 1 caminhos testados | Caminho selecionado: [Sensor(55), FogNode(28)] | Nó selecionado: FogNode(28)
Requisicao 72 | Sensor Sensor(55) | 1 caminhos testados | Caminho selecionado: [Sensor(55), FogNode(28)] | Nó selecionado: FogNode(28)
Requisicao 73 | Sensor Sensor(47) | 1 caminhos testados | Caminho selecionado: [Sensor(47), FogNode(22)] | Nó selecionado: FogNode(22)
Requisicao 74 | Sensor Sensor(18) | 1 caminhos testados | Caminho selecionado: [Sensor(18), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 75 | Sensor Sensor(26) | 1 caminhos testados | Caminho selecionado: [Sensor(26), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 76 | Sensor Sensor(26) | 1 caminhos testados | Caminho selecionado: [Sensor(26), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 77 | Sensor Sensor(25) | 1 caminhos testados | Caminho selecionado: [Sensor(25), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 78 | Sensor Sensor(50) | 1 caminhos testados | Caminho selecionado: [Sensor(50), FogNode(26)] | Nó selecionado: FogNode(26)
Requisicao 79 | Sensor Sensor(27) | 1 caminhos testados | Caminho selecionado: [Sensor(27), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 80 | Sensor Sensor(27) | 1 caminhos testados | Caminho selecionado: [Sensor(27), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 81 | Sensor Sensor(48) | 1 caminhos testados | Caminho selecionado: [Sensor(48), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 82 | Sensor Sensor(39) | 1 caminhos testados | Caminho selecionado: [Sensor(39), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 83 | Sensor Sensor(39) | 1 caminhos testados | Caminho selecionado: [Sensor(39), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 84 | Sensor Sensor(19) | 1 caminhos testados | Caminho selecionado: [Sensor(19), FogNode(8)] | Nó selecionado: FogNode(8)
Requisicao 85 | Sensor Sensor(19) | 1 caminhos testados | Caminho selecionado: [Sensor(19), FogNode(8)] | Nó selecionado: FogNode(8)
Requisicao 86 | Sensor Sensor(19) | 1 caminhos testados | Caminho selecionado: [Sensor(19), FogNode(8)] | Nó selecionado: FogNode(8)
Requisicao 87 | Sensor Sensor(19) | 1 caminhos testados | Caminho selecionado: [Sensor(19), FogNode(8)] | Nó selecionado: FogNode(8)
Requisicao 88 | Sensor Sensor(40) | 1 caminhos testados | Caminho selecionado: [Sensor(40), FogNode(19)] | Nó selecionado: FogNode(19)
Requisicao 89 | Sensor Sensor(53) | 1 caminhos testados | Caminho selecionado: [Sensor(53), FogNode(24)] | Nó selecionado: FogNode(24)
Requisicao 90 | Sensor Sensor(34) | 1 caminhos testados | Caminho selecionado: [Sensor(34), FogNode(14)] | Nó selecionado: FogNode(14)
Requisicao 91 | Sensor Sensor(34) | 1 caminhos testados | Caminho selecionado: [Sensor(34), FogNode(14)] | Nó selecionado: FogNode(14)
Requisicao 92 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 93 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 94 | Sensor Sensor(58) | 1 caminhos testados | Caminho selecionado: [Sensor(58), FogNode(29)] | Nó selecionado: FogNode(29)
Requisicao 95 | Sensor Sensor(2) | 1 caminhos testados | Caminho selecionado: [Sensor(2), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 96 | Sensor Sensor(2) | 1 caminhos testados | Caminho selecionado: [Sensor(2), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 97 | Sensor Sensor(2) | 1 caminhos testados | Caminho selecionado: [Sensor(2), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 98 | Sensor Sensor(23) | 1 caminhos testados | Caminho selecionado: [Sensor(23), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 99 | Sensor Sensor(1) | 1 caminhos testados | Caminho selecionado: [Sensor(1), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 100 | Sensor Sensor(5) | 1 caminhos testados | Caminho selecionado: [Sensor(5), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 101 | Sensor Sensor(36) | 1 caminhos testados | Caminho selecionado: [Sensor(36), FogNode(18)] | Nó selecionado: FogNode(18)
Requisicao 102 | Sensor Sensor(36) | 1 caminhos testados | Caminho selecionado: [Sensor(36), FogNode(18)] | Nó selecionado: FogNode(18)
Requisicao 103 | Sensor Sensor(30) | 1 caminhos testados | Caminho selecionado: [Sensor(30), FogNode(15)] | Nó selecionado: FogNode(15)
Requisicao 104 | Sensor Sensor(30) | 1 caminhos testados | Caminho selecionado: [Sensor(30), FogNode(15)] | Nó selecionado: FogNode(15)
Requisicao 105 | Sensor Sensor(30) | 1 caminhos testados | Caminho selecionado: [Sensor(30), FogNode(15)] | Nó selecionado: FogNode(15)
Requisicao 106 | Sensor Sensor(10) | 1 caminhos testados | Caminho selecionado: [Sensor(10), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 107 | Sensor Sensor(38) | 1 caminhos testados | Caminho selecionado: [Sensor(38), FogNode(20)] | Nó selecionado: FogNode(20)
Requisicao 108 | Sensor Sensor(50) | 1 caminhos testados | Caminho selecionado: [Sensor(50), FogNode(26)] | Nó selecionado: FogNode(26)
Requisicao 109 | Sensor Sensor(33) | 1 caminhos testados | Caminho selecionado: [Sensor(33), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 110 | Sensor Sensor(58) | 1 caminhos testados | Caminho selecionado: [Sensor(58), FogNode(29)] | Nó selecionado: FogNode(29)
Requisicao 111 | Sensor Sensor(48) | 1 caminhos testados | Caminho selecionado: [Sensor(48), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 112 | Sensor Sensor(22) | 1 caminhos testados | Caminho selecionado: [Sensor(22), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 113 | Sensor Sensor(22) | 1 caminhos testados | Caminho selecionado: [Sensor(22), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 114 | Sensor Sensor(27) | 1 caminhos testados | Caminho selecionado: [Sensor(27), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 115 | Sensor Sensor(59) | 1 caminhos testados | Caminho selecionado: [Sensor(59), FogNode(26)] | Nó selecionado: FogNode(26)
Requisicao 116 | Sensor Sensor(31) | 1 caminhos testados | Caminho selecionado: [Sensor(31), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 117 | Sensor Sensor(15) | 1 caminhos testados | Caminho selecionado: [Sensor(15), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 118 | Sensor Sensor(11) | 1 caminhos testados | Caminho selecionado: [Sensor(11), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 119 | Sensor Sensor(25) | 1 caminhos testados | Caminho selecionado: [Sensor(25), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 120 | Sensor Sensor(54) | 1 caminhos testados | Caminho selecionado: [Sensor(54), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 121 | Sensor Sensor(14) | 1 caminhos testados | Caminho selecionado: [Sensor(14), FogNode(9)] | Nó selecionado: FogNode(9)
Requisicao 122 | Sensor Sensor(14) | 1 caminhos testados | Caminho selecionado: [Sensor(14), FogNode(9)] | Nó selecionado: FogNode(9)
Requisicao 123 | Sensor Sensor(11) | 1 caminhos testados | Caminho selecionado: [Sensor(11), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 124 | Sensor Sensor(38) | 1 caminhos testados | Caminho selecionado: [Sensor(38), FogNode(20)] | Nó selecionado: FogNode(20)
Requisicao 125 | Sensor Sensor(3) | 1 caminhos testados | Caminho selecionado: [Sensor(3), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 126 | Sensor Sensor(35) | 1 caminhos testados | Caminho selecionado: [Sensor(35), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 127 | Sensor Sensor(35) | 1 caminhos testados | Caminho selecionado: [Sensor(35), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 128 | Sensor Sensor(35) | 1 caminhos testados | Caminho selecionado: [Sensor(35), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 129 | Sensor Sensor(51) | 1 caminhos testados | Caminho selecionado: [Sensor(51), FogNode(28)] | Nó selecionado: FogNode(28)
Requisicao 130 | Sensor Sensor(51) | 1 caminhos testados | Caminho selecionado: [Sensor(51), FogNode(28)] | Nó selecionado: FogNode(28)
Requisicao 131 | Sensor Sensor(51) | 1 caminhos testados | Caminho selecionado: [Sensor(51), FogNode(28)] | Nó selecionado: FogNode(28)
Requisicao 132 | Sensor Sensor(21) | 1 caminhos testados | Caminho selecionado: [Sensor(21), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 133 | Sensor Sensor(47) | 1 caminhos testados | Caminho selecionado: [Sensor(47), FogNode(22)] | Nó selecionado: FogNode(22)
Requisicao 134 | Sensor Sensor(27) | 1 caminhos testados | Caminho selecionado: [Sensor(27), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 135 | Sensor Sensor(27) | 1 caminhos testados | Caminho selecionado: [Sensor(27), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 136 | Sensor Sensor(29) | 1 caminhos testados | Caminho selecionado: [Sensor(29), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 137 | Sensor Sensor(0) | 1 caminhos testados | Caminho selecionado: [Sensor(0), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 138 | Sensor Sensor(36) | 1 caminhos testados | Caminho selecionado: [Sensor(36), FogNode(18)] | Nó selecionado: FogNode(18)
